Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR,Season,HomeRank,AwayRank,HomePoints,AwayPoints,HomeW,AwayW,HomeGD,AwayGD,HomeGP,AwayGP,Sum_HomeY,Sum_AwayY,Sum_HomeR,Sum_AwayR,Stadium,Home_LastRank,Away_LastRank,Home_L5_GS,Home_L5_GC,Home_L5_Form_Pts,Away_L5_GS,Away_L5_GC,Away_L5_Form_Pts,Rank_Diff,LastRank_Diff,Form_Diff,GD_Diff,HomePPG,AwayPPG,PPG_Diff,HomeGDpg,AwayGDpg,GDpg_Diff,WeatherSeason
2026-04-26,20:30,AVS,Sp Lisbon,1.0,1.0,D,0.0,0.0,D,3.0,1.0,0.0,0.0,25-26,18,3,13,71,1,22,-43.0,55.0,30,29,67.0,67.0,5.0,3.0,27,17.0,1.0,0.6,1.4,11.0,2.4,1.4,28.0,15,16.0,-17.0,-98.0,0.43333333333333335,2.4482758620689653,-2.0149425287356317,-1.4333333333333333,1.896551724137931,-3.329885057471264,1
2026-04-26,18:00,Santa Clara,Sp Braga,2.0,1.0,H,0.0,1.0,A,4.0,4.0,0.0,0.0,25-26,14,4,29,56,7,16,-11.0,29.0,30,30,87.0,64.0,4.0,3.0,19,5.0,4.0,0.8,1.2,14.0,1.2,0.8,34.0,10,1.0,-20.0,-40.0,0.9666666666666667,1.8666666666666667,-0.9,-0.36666666666666664,0.9666666666666667,-1.3333333333333333,1
2026-04-26,18:00,Estrela,Porto,1.0,2.0,A,0.0,2.0,A,3.0,3.0,0.0,0.0,25-26,15,1,28,79,6,25,-16.0,47.0,30,30,75.0,73.0,4.0,2.0,26,15.0,3.0,1.0,1.2,6.0,2.4,0.8,39.0,14,12.0,-33.0,-63.0,0.9333333333333333,2.6333333333333333,-1.7,-0.5333333333333333,1.5666666666666667,-2.1,1
2026-04-26,15:30,Estoril,Famalicao,0.0,1.0,A,0.0,0.0,D,0.0,2.0,0.0,0.0,25-26,10,5,37,48,10,13,0.0,11.0,30,30,75.0,82.0,0.0,2.0,17,8.0,7.0,1.0,1.8,3.0,1.6,1.2,21.0,5,1.0,-18.0,-11.0,1.2333333333333334,1.6,-0.3666666666666667,0.0,0.36666666666666664,-0.36666666666666664,1
2026-04-25,20:30,Guimaraes,Rio Ave,2.0,0.0,H,0.0,0.0,D,4.0,4.0,0.0,0.0,25-26,7,12,39,34,11,8,-7.0,-17.0,30,30,68.0,79.0,3.0,4.0,8,6.0,12.0,1.6,1.2,28.0,1.8,1.2,26.0,-5,-6.0,2.0,10.0,1.3,1.1333333333333333,0.16666666666666674,-0.23333333333333334,-0.5666666666666667,0.3333333333333333,1
2026-04-25,18:00,Benfica,Moreirense,4.0,1.0,H,2.0,1.0,H,2.0,2.0,0.0,0.0,25-26,2,8,72,39,21,11,44.0,-8.0,30,30,58.0,76.0,3.0,3.0,6,2.0,10.0,2.0,0.6,39.0,0.4,1.2,19.0,-6,-8.0,20.0,52.0,2.4,1.3,1.0999999999999999,1.4666666666666666,-0.26666666666666666,1.7333333333333332,1
2026-04-25,15:30,Tondela,Nacional,0.0,2.0,A,0.0,2.0,A,2.0,1.0,0.0,0.0,25-26,17,14,21,28,4,7,-27.0,-9.0,29,30,80.0,90.0,3.0,6.0,15,19.0,14.0,0.4,2.0,6.0,0.6,0.8,24.0,3,5.0,-18.0,-18.0,0.7241379310344828,0.9333333333333333,-0.20919540229885059,-0.9310344827586207,-0.3,-0.6310344827586207,1
2026-04-24,20:15,Alverca,Arouca,2.0,1.0,H,1.0,0.0,H,0.0,5.0,0.0,0.0,25-26,10,11,35,35,9,10,-16.0,-20.0,30,30,65.0,85.0,4.0,9.0,28,19.0,11.0,1.6,1.8,22.0,1.2,1.0,30.0,-1,8.0,-8.0,4.0,1.1666666666666667,1.1666666666666667,0.0,-0.5333333333333333,-0.6666666666666666,0.1333333333333333,1
2026-04-23,19:00,Casa Pia,Sp Braga,0.0,1.0,A,0.0,1.0,A,2.0,3.0,0.0,0.0,25-26,16,4,26,53,5,15,-24.0,28.0,29,29,81.0,61.0,2.0,3.0,25,9.0,4.0,0.4,1.6,9.0,1.4,1.2,27.0,12,5.0,-18.0,-52.0,0.896551724137931,1.8275862068965518,-0.9310344827586208,-0.8275862068965517,0.9655172413793104,-1.793103448275862,1
2026-04-20,20:15,Moreirense,Estoril,1.0,0.0,H,1.0,0.0,H,0.0,2.0,0.0,0.0,25-26,9,8,36,37,10,10,-9.0,1.0,29,29,76.0,73.0,3.0,0.0,12,10.0,8.0,0.4,1.4,6.0,1.0,1.6,7.0,1,2.0,-1.0,-10.0,1.2413793103448276,1.2758620689655173,-0.034482758620689724,-0.3103448275862069,0.034482758620689655,-0.3448275862068966,1
